model_id,sample_name,outcome,model_stage,predictor,predictor_source,predictor_status
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1BC1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1BC2,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1BC3,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1BC4,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1BC5,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1BC7,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1MO10,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1MO9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1PR8,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1SE1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1SE2,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,num_H1SE3,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,num_H1WP1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,num_H1WP14,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,num_H1WP8,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M2_school_context,main_grade_10_12,a_H1CO8_yesno,M2_school_context,a_age_wave1,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M2_school_context,main_grade_10_12,a_H1CO8_yesno,M2_school_context,a_female,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M2_school_context,main_grade_10_12,a_H1CO8_yesno,M2_school_context,a_grade_wave1,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,num_H1BC6,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,num_H1MO10,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,num_H1MO2,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,num_H1MO3,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,num_H1PA3,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO8_yesno,M4_peers_relationships,a_age_wave1,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO8_yesno,M4_peers_relationships,a_female,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO8_yesno,M4_peers_relationships,a_grade_wave1,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO8_yesno,M5_general_risk_behaviors,a_age_wave1,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO8_yesno,M5_general_risk_behaviors,a_female,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO8_yesno,M5_general_risk_behaviors,a_grade_wave1,mandatory_control,not_used
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1BC6,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1MO10,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1MO2,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1MO3,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1PA3,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1PF6,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1RP5,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1WP1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1WP14,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,num_H1WP8,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,num_H1PR8,suggested_block_predictor,used_in_model
